iata;type;name;coordinates;timezone;parent_name;City
MKJ;city;Makoua;-0.02:15.58;Africa/Brazzaville;Republic of the Congo;Makoua
PNK;city;Pontianak;-0.022523:109.330307;Asia/Pontianak;Indonesia;Pontianak
KEE;city;Kelle;-0.0666667:14.5;Africa/Brazzaville;Republic of the Congo;Kelle
GIM;city;Miele Mimbale;-0.07:11.35;Africa/Libreville;Gabon;Miele Mimbale
NYK;city;Nanyuki;-0.07:37.03;Africa/Dar_es_Salaam;Kenya;Nanyuki
GEB;city;Gebe;-0.08:129.46;Europe/Istanbul;Indonesia;Gebe
GKO;city;Kongoboumba;-0.086314:11.468564;Africa/Libreville;Gabon;Kongoboumba
TSX;city;Tanjung Santan;-0.09:117.44;Asia/Makassar;Indonesia;Tanjung Santan
BGB;city;Booue;-0.093503:11.94794;Africa/Libreville;Gabon;Booue
KIS;city;Kisumu;-0.09516:34.74733;Africa/Nairobi;Kenya;Kisumu
TPC;city;Tarapoa;-0.133333:-76.416667;America/Guayaquil;Ecuador;Tarapoa
SJL;city;Sao Gabriel;-0.15:-66.99;America/Fortaleza;Brazil;Sao Gabriel
LQM;city;Puerto Leguizamo;-0.158832:-74.782898;America/Bogota;Colombia;Puerto Leguizamo
LGZ;city;Leguizamo;-0.158832:-74.782898;America/Bogota;Colombia;Leguizamo
UIO;city;Quito;-0.229498:-78.524277;America/Guayaquil;Ecuador;Quito
KOD;city;Kotabangun;-0.263686:116.586043;Asia/Jakarta;Indonesia;Kotabangun
NUU;city;Nakuru;-0.2833333:36.0666667;;Kenya;Nakuru
BNB;city;Boende;-0.2842862:20.8850949;Africa/Kinshasa;Democratic Republic of the Congo;Boende
GFB;city;Togiak Fish;-0.33:122.0;America/New_York;United States;Togiak Fish
NPO;city;Nangapinoh;-0.348869:111.747606;Asia/Pontianak;Indonesia;Nangapinoh
RGT;city;Rengat;-0.35:102.33;Asia/Jakarta;Indonesia;Rengat
KMU;city;Kismayu;-0.3602778:42.5487778;Africa/Mogadishu;Somalia;Kismayu
NYE;city;Nyeri;-0.37:36.97;;Kenya;Nyeri
