name;location;photo;Shutterstock photo;title;description1;description2;description3;description4;description5
Athens;Athens, Greece;https://pixabay.com/fr/grecque-ath%C3%A8nes-gr%C3%A8ce-europe-1289076/;;Take Greece's pulse in its vibrant capital city;Of course the Acropolis is a must!;But don't forget to just walk the streets and loose yourself.;Our favourite area? Plaka with no doubt. Enjoying a tzatziki sitting on a terrace certainly is a cliché. But we just loved it!;;
Meteora;Meteora, Greece;https://pixabay.com/fr/monast%C3%A8res-meteora-monast%C3%A8re-1543785/;;Breathtaking and mystical;So there is a monastery up there? Really? Yes and it is just stunning. Believe us.;The only way for monks to access the monastery used to be baskets and ropes.;;;
Delphi;Delphi, Greece;https://pixabay.com/fr/delphes-oracle-oracle-de-delphes-1919203/;;The centre of the world fo the ancient Greeks;Delphi is the most important sanctuary in Greece, heart of  the Greeks' religious life;Test how much you remember from school about Mythology or....;... Just admire the magnificent ruins nested on the slopes of Mount Parnassos, above a valley of cypress and olive trees;;
Olympia;Archeological site of Olympia, Greece;https://pixabay.com/fr/olympie-gr%C3%A8ce-collonne-antiquit%C3%A9-643763/;;Hosted the Olympic games .... 2 800 years ago;Ruins again? Yes, but imagine the Greek equivalent of Usain Bolt running there...;The Olympic flame still is lit there;;;
Corfu;Corfu, Greece;https://pixabay.com/fr/mer-baie-front-de-mer-plage-418742/;;Some call it the most beautiful island in Greece. We won't disagree.;Corfu has everything an island can offer : Hidden and vertigineous villages, colourful fishing ports, luxurious vegetation and amazing beaches;Oh! And it has some of the best food in the country, which does not hurt.;;;
Laconia;Laconia, Greece;https://pixabay.com/fr/monemvasia-ch%C3%A2teau-gr%C3%A8ce-1183612/;;Enjoy wild and off the track Peloponnese;Monemvassia castle overlooking the sea;Elafonissos : one of the most beautiful beaches in Europe;;;
Epidaurus;Epidaurus, Greece;https://pixabay.com/fr/asclepius-sanctuary-gr%C3%A8ce-fond-1475013/;;Spectacular ancient theatre;One of the best preserved classical Greek buildings;If you are lucky, you could even attend a play as the thatre is still used today;;;
Plitvice;Plitvice, Croatia;https://cdn.pixabay.com/photo/2015/10/12/15/12/plitvice-lakes-984280__340.jpg;;This could well be paradise;An enchanting national park;A succession of 16 lakes and waterfalls;Choose between a 6 hour walk or a boat tour. But pleaaaaaase! Take your time!;;
Dubrovnik;Dubrovnik, Croatia;https://pixabay.com/fr/dubrovnik-croatie-hrvatska-512798/;;A princess overlooking the Adriatic;Get lost in the old town and admire its baroque architecture and churches;Walk along the city walls before taking a refreshing swim in the Adriatic;;;
Hvar;Hvar, Croatia;https://pixabay.com/fr/hvar-mer-adriatique-croatie-hrvatska-419816/;;Jetsetters from around the world, this island is yours;Hvar island hosts hundreds of thousands of people every year for some of the most popular summer parties in Europe.;Million dollar yachts are part of the game of course;;;
Istria region;Rovinj, Croatia;https://pixabay.com/fr/skyline-rovinj-croatie-l-eau-1738058/;;The most touristic seaside of Croatia still has a lot to offer in its bucolic inland and some preserved seaside towns;Explore rural Croatia from Buzet;If you have to pick one seaside town, head to Rovinj;Avoid touristy seaside resorts in Summer when they are full of Central Europe tourists;;
Zadar;Zadar, Croatia;https://pixabay.com/fr/saint-donat-eglise-zadar-monast%C3%A8re-507024/;;Zadar is unique. So don't miss it;A rare mix of Roman and modern architecture together with great nightlife;An ideal hub to explore islands in the region;;;
Split;Split, Croatia;https://pixabay.com/fr/split-croatie-hrvatska-1585465/;;Be ready for buzzing Split;"Split is the archetype of a traditional city married with modern (night)life
";The ideal base to explore the islands of the Adriatic;Take the time to drive around the region and discover medieval Trogir as well as dozens of pittoresque ports and castles;;
